Site	Left	Right	Strand	Transcription-Units	Common-Name
DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10849)	3147414	3147429			
DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10850)	2669264	2669279			
DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10851)	3146496	3146511			
DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10852)	1553884	1553899			
DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10853)	2578731	2578746			
DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10854)	1904958	1904973			
DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10856)	189583	189598			
DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10857)	3891177	3891192			
DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10859)	4511480	4511513			
DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10860)	4517638	4517672			
DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10861)	3540068	3540083			
DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10863)					
DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10864)					
DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10865)					
DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10866)	3590009	3590028			
DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10870)	3244790	3244809			
DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10874)					
DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10875)	490830	490849			
DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10877)	2247061	2247076			
DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10878)					
DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10879)	1517248	1517267			
DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10881)	1789575	1789594			
DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10882)	1791990	1792009			
DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10883)					
DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10884)	2279057	2279076			
DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10885)	2456111	2456130			
DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10888)	2628648	2628667			
DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10889)					
DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10890)					
DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10891)	4062467	4062486			
DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10892)	4075647	4075666			
DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10893)					
DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10894)	4572193	4572212			
DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10895)	4605679	4605698			
DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10896)	1523207	1523226			
DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10897)	2308674	2308693			
DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10898)					
DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10899)					
DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10901)	3467054	3467073			
DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10902)	3853293	3853314			
DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10903)					
DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10904)					
DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10905)	1986437	1986456			
DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10907)	3384515	3384536			
DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10908)	618106	618127			
DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10909)	1988571	1988590			
DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10910)	1986708	1986727			
DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10911)	2659178	2659197			
DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10913)	2248537	2248558			
DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10914)	2240704	2240723			
DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10915)	2306863	2306884			
DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10916)	1544159	1544178			
DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10917)	2800475	2800496			
DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10918)	1305553	1305572			
DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10919)	1084889	1084910			
DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10920)	2751692	2751713			
DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10921)	1996981	1997000			
DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10922)	2655240	2655259			
DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10923)	1021094	1021115			
DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10924)	1244615	1244634			
DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10925)					
DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10926)					
DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10927)	432313	432332			
DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10928)					
DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10929)					
DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10930)					
DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10931)	755716	755735			
DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10932)	757459	757478			
DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10933)					
DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10934)	816796	816816			
DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10935)	839301	839322			
DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10937)	853117	853136			
DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10938)	891711	891732			
DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10939)	939292	939311			
DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10940)	943384	943403			
DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10941)	1487091	1487112			
DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10942)	1579619	1579640			
DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10943)	1577852	1577873			
DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10945)	3216699	3216720			
DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10946)	3348297	3348318			
DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10961)					
DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10963)					
DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10964)					
DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10965)	1139933	1139952			
DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10966)	3113359	3113378			
DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10967)					
DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10970)	4572191	4572212			
DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10971)	4572197	4572218			
DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10974)	1081279	1081300			
DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10975)					
DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-8491)					
DNA-binding transcriptional dual regulator Fur DNA-binding-site 1 bases upstream of fepBp	624721	624736	-	fepB	
DNA-binding transcriptional dual regulator Fur DNA-binding-site 1 bases upstream of metJp2	4128521	4128540	-	metJ	
DNA-binding transcriptional dual regulator Fur DNA-binding-site 10 bases upstream of fecIp	4518283	4518302	-	fecIR	
DNA-binding transcriptional dual regulator Fur DNA-binding-site 10 bases upstream of fhuEp	1161650	1161665	-	fhuE	
DNA-binding transcriptional dual regulator Fur DNA-binding-site 100 bases upstream of entCp	624722	624741	+	entCEBA-ybdB	
DNA-binding transcriptional dual regulator Fur DNA-binding-site 115 bases downstream of flhDp	1978272	1978291	-	flhDC	
DNA-binding transcriptional dual regulator Fur DNA-binding-site 12 bases downstream of fiup	841630	841645	-	fiu	
DNA-binding transcriptional dual regulator Fur DNA-binding-site 12 bases upstream of yhhXp5	3581019	3581038	-	ryhB	
DNA-binding transcriptional dual regulator Fur DNA-binding-site 124 bases upstream of metHp1	4223650	4223669	+	metH	
DNA-binding transcriptional dual regulator Fur DNA-binding-site 13 bases downstream of entCp	624836	624851	+	entCEBA-ybdB	
DNA-binding transcriptional dual regulator Fur DNA-binding-site 13 bases upstream of fepBp	624731	624750	-	fepB	
DNA-binding transcriptional dual regulator Fur DNA-binding-site 136 bases upstream of oppAp	1300940	1300959	+	oppABCDF	
DNA-binding transcriptional dual regulator Fur DNA-binding-site 14 bases upstream of fecIp	4518287	4518306	-	fecIR	
DNA-binding transcriptional dual regulator Fur DNA-binding-site 14 bases upstream of uxaBp	1610725	1610744	-	uxaB	
DNA-binding transcriptional dual regulator Fur DNA-binding-site 15 bases downstream of fhuEp	1161624	1161643	-	fhuE	
DNA-binding transcriptional dual regulator Fur DNA-binding-site 15 bases upstream of fesp	612663	612682		fes-ybdZ-entF-fepE // fepA-entD	
DNA-binding transcriptional dual regulator Fur DNA-binding-site 15 bases upstream of tonBp	1311030	1311049	+	tonB	
DNA-binding transcriptional dual regulator Fur DNA-binding-site 15 bases upstream of yhhXp5	3581022	3581041	-	ryhB	
DNA-binding transcriptional dual regulator Fur DNA-binding-site 15 bases upstream of yqjHp	3216544	3216563	-	nfeF	
DNA-binding transcriptional dual regulator Fur DNA-binding-site 156 bases downstream of gspCp3	3455677	3455696	+	gspCDEFGHIJKLMO	
DNA-binding transcriptional dual regulator Fur DNA-binding-site 16 bases downstream of entCp	624839	624854	+	entCEBA-ybdB	
DNA-binding transcriptional dual regulator Fur DNA-binding-site 17 bases upstream of cirAp1	2246939	2246954	-	cirA // cirA	
DNA-binding transcriptional dual regulator Fur DNA-binding-site 17 bases upstream of feoAp	3540031	3540050	+	feoABC	
DNA-binding transcriptional dual regulator Fur DNA-binding-site 18 bases upstream of yhhXp5	3581025	3581044		ryhB // yhhY	
DNA-binding transcriptional dual regulator Fur DNA-binding-site 19 bases downstream of entCp	624842	624857	+	entCEBA-ybdB	
DNA-binding transcriptional dual regulator Fur DNA-binding-site 19 bases upstream of tonBp	1311025	1311046	+	tonB	
DNA-binding transcriptional dual regulator Fur DNA-binding-site 19 bases upstream of yqjHp	3216548	3216567	-	nfeF	
DNA-binding transcriptional dual regulator Fur DNA-binding-site 2 bases downstream of nohAp	1636593	1636612	-	nohA-stfQ-tfaQ	
DNA-binding transcriptional dual regulator Fur DNA-binding-site 2 bases upstream of fesp	612676	612695		fes-ybdZ-entF-fepE // fepA-entD	
DNA-binding transcriptional dual regulator Fur DNA-binding-site 20 bases upstream of sufAp	1764429	1764447	-	sufABCDSE	
DNA-binding transcriptional dual regulator Fur DNA-binding-site 21 bases downstream of fepDp1	622205	622224		fepDGC // entS	
DNA-binding transcriptional dual regulator Fur DNA-binding-site 21 bases upstream of fesp	612656	612677		fes-ybdZ-entF-fepE // fepA-entD	
DNA-binding transcriptional dual regulator Fur DNA-binding-site 213 bases upstream of cyoAp	451857	451876	-	cyoABCDE	
DNA-binding transcriptional dual regulator Fur DNA-binding-site 23 bases upstream of cirAp1	2246945	2246960	-	cirA	
DNA-binding transcriptional dual regulator Fur DNA-binding-site 23 bases upstream of fecAp	4516741	4516760	-	fecABCDE	
DNA-binding transcriptional dual regulator Fur DNA-binding-site 25 bases downstream of entCp	624848	624863	+	entCEBA-ybdB	
DNA-binding transcriptional dual regulator Fur DNA-binding-site 25 bases upstream of tonBp	1311020	1311039	+	tonB	
DNA-binding transcriptional dual regulator Fur DNA-binding-site 26 bases downstream of tonBp	1311070	1311089	+	tonB	
DNA-binding transcriptional dual regulator Fur DNA-binding-site 26 bases upstream of fecAp	4516744	4516763	-	fecABCDE	
DNA-binding transcriptional dual regulator Fur DNA-binding-site 27 bases upstream of yjjZp	4605741	4605760		yjjZ // fhuF	
DNA-binding transcriptional dual regulator Fur DNA-binding-site 28 bases upstream of fesp	612650	612669		fes-ybdZ-entF-fepE // fepA-entD	
DNA-binding transcriptional dual regulator Fur DNA-binding-site 29 bases upstream of cirAp1	2246951	2246966	-	cirA // cirA	
DNA-binding transcriptional dual regulator Fur DNA-binding-site 29 bases upstream of fecAp	4516749	4516764	-	fecABCDE	
DNA-binding transcriptional dual regulator Fur DNA-binding-site 3 bases downstream of fiup	841639	841654	-	fiu	
DNA-binding transcriptional dual regulator Fur DNA-binding-site 3 bases downstream of gpmAp4	787623	787638	-	gpmA // gpmA	
DNA-binding transcriptional dual regulator Fur DNA-binding-site 3 bases downstream of yjjZp	4605770	4605789		yjjZ // fhuF	
DNA-binding transcriptional dual regulator Fur DNA-binding-site 3 bases upstream of fhuAp	167432	167447	+	fhuACDB	
DNA-binding transcriptional dual regulator Fur DNA-binding-site 30 bases upstream of sodAp	4100720	4100739	+	sodA	
DNA-binding transcriptional dual regulator Fur DNA-binding-site 31 bases downstream of entCp	624854	624869	+	entCEBA-ybdB	
DNA-binding transcriptional dual regulator Fur DNA-binding-site 31.5 bases upstream of mntHp	2512757	2512775	-	mntH	
DNA-binding transcriptional dual regulator Fur DNA-binding-site 32 bases upstream of entSp1	622217	622236		entS // fepDGC	
DNA-binding transcriptional dual regulator Fur DNA-binding-site 33 bases upstream of sodAp	4100717	4100736	+	sodA	
DNA-binding transcriptional dual regulator Fur DNA-binding-site 34 bases upstream of sdhCp	754915	754934	+	sdhCDAB-sucABCD-sdhX	
DNA-binding transcriptional dual regulator Fur DNA-binding-site 35 bases upstream of cirAp1	2246957	2246972	-	cirA // cirA	
DNA-binding transcriptional dual regulator Fur DNA-binding-site 36 bases upstream of sodAp	4100714	4100733	+	sodA	
DNA-binding transcriptional dual regulator Fur DNA-binding-site 38 bases upstream of entSp1	622213	622228		entS // fepDGC	
DNA-binding transcriptional dual regulator Fur DNA-binding-site 4 bases downstream of nohAp	1636591	1636610	-	nohA-stfQ-tfaQ	
DNA-binding transcriptional dual regulator Fur DNA-binding-site 4 bases upstream of fecIp	4518279	4518294	-	fecIR	
DNA-binding transcriptional dual regulator Fur DNA-binding-site 40 bases upstream of exbBp	3152047	3152062	-	exbBD	
DNA-binding transcriptional dual regulator Fur DNA-binding-site 42 bases upstream of sodAp	4100708	4100727	+	sodA	
DNA-binding transcriptional dual regulator Fur DNA-binding-site 46 bases upstream of exbBp	3152051	3152070	-	exbBD	
DNA-binding transcriptional dual regulator Fur DNA-binding-site 46 bases upstream of exbDp	3151427	3151446	-	exbD	
DNA-binding transcriptional dual regulator Fur DNA-binding-site 49 bases upstream of purRp	1737631	1737650	+	purR	
DNA-binding transcriptional dual regulator Fur DNA-binding-site 50 bases upstream of entSp1	622199	622218		entS // fepDGC	
DNA-binding transcriptional dual regulator Fur DNA-binding-site 58 bases downstream of entCp	624881	624896	+	entCEBA-ybdB	
DNA-binding transcriptional dual regulator Fur DNA-binding-site 6 bases downstream of gpmAp4	787618	787637	-	gpmA // gpmA	
DNA-binding transcriptional dual regulator Fur DNA-binding-site 6 bases downstream of hmpp	2685793	2685812	+	hmp	
DNA-binding transcriptional dual regulator Fur DNA-binding-site 6 bases upstream of fiup	841647	841662	-	fiu	
DNA-binding transcriptional dual regulator Fur DNA-binding-site 61 bases upstream of nrdHp	2800586	2800605		nrdHIEF // ygaC	
DNA-binding transcriptional dual regulator Fur DNA-binding-site 62 bases upstream of fhuFp1	4605747	4605766	-	fhuF	
DNA-binding transcriptional dual regulator Fur DNA-binding-site 65 bases upstream of ftnAp	1988608	1988627	+	ftnA	
DNA-binding transcriptional dual regulator Fur DNA-binding-site 68 bases downstream of nrdHp	2800713	2800734	+	nrdHIEF	
DNA-binding transcriptional dual regulator Fur DNA-binding-site 7 bases downstream of fiup	841635	841650	-	fiu	
DNA-binding transcriptional dual regulator Fur DNA-binding-site 7 bases downstream of furpb	710708	710727	-	fur // fur	
DNA-binding transcriptional dual regulator Fur DNA-binding-site 7 bases upstream of fecIp	4518280	4518299	-	fecIR	
DNA-binding transcriptional dual regulator Fur DNA-binding-site 7 bases upstream of fepBp	624725	624744	-	fepB	
DNA-binding transcriptional dual regulator Fur DNA-binding-site 7 bases upstream of furpa	710714	710733	-	fur // fur	
DNA-binding transcriptional dual regulator Fur DNA-binding-site 71.5 bases upstream of mntPp	1905378	1905398	+	mntP	
DNA-binding transcriptional dual regulator Fur DNA-binding-site 73 bases upstream of uxuAp	4551436	4551455	+	uxuAB	
DNA-binding transcriptional dual regulator Fur DNA-binding-site 74 bases upstream of ftnAp	1988601	1988616	+	ftnA	
DNA-binding transcriptional dual regulator Fur DNA-binding-site 744 bases upstream of yqhDp	3154549	3154568	+	yqhD-dkgA	
DNA-binding transcriptional dual regulator Fur DNA-binding-site 77 bases upstream of ftnAp	1988596	1988615	+	ftnA	
DNA-binding transcriptional dual regulator Fur DNA-binding-site 78 bases downstream of rcnAp	2185894	2185915	+	rcnAB	
DNA-binding transcriptional dual regulator Fur DNA-binding-site 79 bases upstream of fhuFp1	4605764	4605783	-	fhuF	
DNA-binding transcriptional dual regulator Fur DNA-binding-site 81 bases downstream of rcnAp	2185897	2185918	+	rcnAB	
DNA-binding transcriptional dual regulator Fur DNA-binding-site 83 bases upstream of ftnAp	1988590	1988609	+	ftnA	
DNA-binding transcriptional dual regulator Fur DNA-binding-site 87 bases downstream of rcnAp	2185903	2185924	+	rcnAB	
DNA-binding transcriptional dual regulator Fur DNA-binding-site 88.5 bases upstream of pyrCp	1122720	1122744	-	pyrC	
DNA-binding transcriptional dual regulator Fur DNA-binding-site 89 bases upstream of ftnAp	1988584	1988603	+	ftnA	
